Case,ID,size,pixel_num_lung,pixel_num_fibrosis
1_0000,1_0000_316,256,80163,348
1_0000,1_0000_317,256,79608,204
1_0000,1_0000_318,256,78936,368
1_0000,1_0000_319,256,78615,1108
1_0000,1_0000_320,256,78072,1168
1_0000,1_0000_321,256,77538,1132
1_0000,1_0000_322,256,77082,580
1_0000,1_0000_323,256,76443,0
1_0000,1_0000_324,256,75966,280
1_0000,1_0000_325,256,75090,508
1_0000,1_0000_326,256,74364,644
1_0000,1_0000_327,256,74142,468
1_0000,1_0000_328,256,73563,1060
1_0000,1_0000_329,256,72876,780
1_0000,1_0000_330,256,72513,856
1_0000,1_0000_331,256,71931,588
1_0000,1_0000_332,256,71373,588
1_0000,1_0000_333,256,71139,560
1_0000,1_0000_334,256,70599,924
1_0000,1_0000_335,256,69939,660
1_0000,1_0000_336,256,69492,760
1_0000,1_0000_337,256,69045,32
1_0000,1_0000_338,256,68589,0
1_0000,1_0000_339,256,68352,0
1_0000,1_0000_340,256,67959,0
1_0000,1_0000_341,256,67395,0
1_0000,1_0000_342,256,66909,100
1_0000,1_0000_343,256,66384,388
1_0000,1_0000_344,256,65880,528
1_0000,1_0000_345,256,65076,520
1_0000,1_0000_346,256,64404,660
1_0000,1_0000_347,256,63441,644
1_0000,1_0000_348,256,62580,216
1_0000,1_0000_349,256,61830,152
1_0000,1_0000_350,256,60786,412
1_0000,1_0000_351,256,60090,768
1_0000,1_0000_352,256,58989,972
1_0000,1_0000_353,256,58020,776
1_0000,1_0000_354,256,57261,724
1_0000,1_0000_355,256,56361,708
1_0000,1_0000_356,256,55260,664
1_0000,1_0000_357,256,54372,660
1_0000,1_0000_358,256,53286,420
1_0000,1_0000_359,256,52209,764
1_0000,1_0000_360,256,51312,532
1_0000,1_0000_361,256,50418,280
1_0000,1_0000_362,256,49470,488
1_0000,1_0000_363,256,48405,440
1_0000,1_0000_364,256,47217,496
1_0000,1_0000_365,256,46212,432
1_0000,1_0000_366,256,45087,564
1_0000,1_0000_367,256,43947,392
1_0000,1_0000_368,256,42831,268
1_0000,1_0000_369,256,42021,52
1_0000,1_0000_370,256,40911,0
1_0000,1_0000_371,256,39636,0
1_0000,1_0000_372,256,38565,0
1_0000,1_0000_373,256,37413,0
1_0000,1_0000_374,256,36435,248
1_0000,1_0000_375,256,35316,252
1_0000,1_0000_376,256,34230,464
1_0000,1_0000_377,256,33135,552
1_0000,1_0000_378,256,32103,112
1_0000,1_0000_379,256,31101,52
1_0000,1_0000_380,256,29928,0
1_0000,1_0000_381,256,28635,232
1_0000,1_0000_382,256,27315,188
1_0000,1_0000_383,256,26124,36
1_0000,1_0000_384,256,24867,0
1_0000,1_0000_385,256,23634,0
1_0000,1_0000_386,256,22416,128
1_0000,1_0000_387,256,21177,0
1_0000,1_0000_388,256,19914,0
1_0000,1_0000_389,256,18684,52
1_0000,1_0000_390,256,17424,108
1_0000,1_0000_391,256,16041,344
1_0000,1_0000_392,256,14814,788
1_0000,1_0000_393,256,13152,644
1_0000,1_0000_394,256,11673,576
1_0000,1_0000_395,256,10431,1540
1_0000,1_0000_396,256,9312,2060
1_0000,1_0000_397,256,8202,2152
1_0000,1_0000_398,256,6468,1684
1_0000,1_0000_399,256,5469,2148
1_0000,1_0000_400,256,3855,1656
1_0000,1_0000_401,256,1161,676
2_0000,2_0000_053,256,27,140
2_0000,2_0000_054,256,357,720
2_0000,2_0000_055,256,597,700
2_0000,2_0000_056,256,711,792
2_0000,2_0000_057,256,807,884
2_0000,2_0000_058,256,933,1008
2_0000,2_0000_059,256,1101,1120
2_0000,2_0000_060,256,1284,1368
2_0000,2_0000_061,256,1509,1144
2_0000,2_0000_062,256,1611,1316
2_0000,2_0000_063,256,1827,1296
2_0000,2_0000_064,256,1995,1320
2_0000,2_0000_065,256,2157,1360
2_0000,2_0000_066,256,2337,1260
2_0000,2_0000_067,256,2466,1088
2_0000,2_0000_068,256,2655,956
2_0000,2_0000_069,256,2793,1044
2_0000,2_0000_070,256,2895,1016
2_0000,2_0000_071,256,3054,992
2_0000,2_0000_072,256,3228,1116
2_0000,2_0000_073,256,3441,824
2_0000,2_0000_074,256,3600,1132
2_0000,2_0000_075,256,3729,1188
2_0000,2_0000_076,256,3870,1172
2_0000,2_0000_077,256,4020,1292
2_0000,2_0000_078,256,4191,1300
2_0000,2_0000_079,256,4296,1340
2_0000,2_0000_080,256,4521,1496
2_0000,2_0000_081,256,4692,1252
2_0000,2_0000_082,256,4935,1896
2_0000,2_0000_083,256,5154,1900
2_0000,2_0000_084,256,5355,1880
2_0000,2_0000_085,256,5568,2032
2_0000,2_0000_086,256,5745,1992
2_0000,2_0000_087,256,5889,1992
2_0000,2_0000_088,256,6036,2920
2_0000,2_0000_089,256,6207,2424
2_0000,2_0000_090,256,6489,2720
2_0000,2_0000_091,256,6888,2808
2_0000,2_0000_092,256,7317,3244
2_0000,2_0000_093,256,7551,2856
2_0000,2_0000_094,256,7758,3876
2_0000,2_0000_095,256,8151,3064
2_0000,2_0000_096,256,8349,3668
2_0000,2_0000_097,256,8625,3924
2_0000,2_0000_098,256,8988,3868
2_0000,2_0000_099,256,9258,3804
2_0000,2_0000_100,256,9675,3096
2_0000,2_0000_101,256,10137,3472
2_0000,2_0000_102,256,10503,3272
2_0000,2_0000_103,256,10698,3676
2_0000,2_0000_104,256,11205,3220
2_0000,2_0000_105,256,11577,3532
2_0000,2_0000_106,256,12042,3968
2_0000,2_0000_107,256,12714,4276
2_0000,2_0000_108,256,13203,4256
2_0000,2_0000_109,256,13587,4540
2_0000,2_0000_110,256,13974,4800
2_0000,2_0000_111,256,14436,4764
2_0000,2_0000_112,256,14958,5152
2_0000,2_0000_113,256,15576,5588
2_0000,2_0000_114,256,16122,5860
2_0000,2_0000_115,256,16638,6364
2_0000,2_0000_116,256,17136,6392
2_0000,2_0000_117,256,17580,6044
2_0000,2_0000_118,256,18297,6684
2_0000,2_0000_119,256,18867,6740
2_0000,2_0000_120,256,19473,6688
2_0000,2_0000_121,256,19998,7280
2_0000,2_0000_122,256,20505,7352
2_0000,2_0000_123,256,21108,7588
2_0000,2_0000_124,256,21750,7496
2_0000,2_0000_125,256,22530,7600
2_0000,2_0000_126,256,23337,8036
2_0000,2_0000_127,256,24000,7852
2_0000,2_0000_128,256,24753,7600
2_0000,2_0000_129,256,25350,7848
2_0000,2_0000_130,256,26055,8292
2_0000,2_0000_131,256,26760,8028
2_0000,2_0000_132,256,27249,8116
2_0000,2_0000_133,256,27867,8320
2_0000,2_0000_134,256,28554,8740
2_0000,2_0000_135,256,29361,9404
2_0000,2_0000_136,256,30234,9936
2_0000,2_0000_137,256,30828,9796
2_0000,2_0000_138,256,31581,10136
2_0000,2_0000_139,256,32526,10472
2_0000,2_0000_140,256,33213,10312
2_0000,2_0000_141,256,34293,10776
2_0000,2_0000_142,256,35316,11492
2_0000,2_0000_143,256,36195,11036
2_0000,2_0000_144,256,37155,11016
2_0000,2_0000_145,256,38211,11676
2_0000,2_0000_146,256,39039,11524
2_0000,2_0000_147,256,39891,11408
2_0000,2_0000_148,256,40524,12960
2_0000,2_0000_149,256,41268,12404
2_0000,2_0000_150,256,41931,12476
2_0000,2_0000_151,256,42840,12772
2_0000,2_0000_152,256,43620,12808
2_0000,2_0000_153,256,44097,13036
2_0000,2_0000_154,256,44448,12384
2_0000,2_0000_155,256,45249,11428
2_0000,2_0000_156,256,46137,13132
2_0000,2_0000_157,256,47016,12792
2_0000,2_0000_158,256,47913,12660
2_0000,2_0000_159,256,48438,12116
2_0000,2_0000_160,256,49116,12784
2_0000,2_0000_161,256,49671,13548
2_0000,2_0000_162,256,50505,13720
2_0000,2_0000_163,256,51585,13268
2_0000,2_0000_164,256,52752,12848
2_0000,2_0000_165,256,53610,11748
2_0000,2_0000_166,256,54522,11648
2_0000,2_0000_167,256,55380,11364
2_0000,2_0000_168,256,56340,11960
2_0000,2_0000_169,256,57597,11256
2_0000,2_0000_170,256,59634,13296
2_0000,2_0000_171,256,60633,14044
