Case,ID,size,pixel_num_lung,pixel_num_fibrosis
2_0000,2_0000_101,256,5418,2124
2_0000,2_0000_102,256,5577,2140
2_0000,2_0000_103,256,5688,2184
2_0000,2_0000_104,256,5955,2228
2_0000,2_0000_105,256,6150,2304
2_0000,2_0000_106,256,6402,2464
2_0000,2_0000_107,256,6720,2504
2_0000,2_0000_108,256,6975,2552
2_0000,2_0000_109,256,7173,2672
2_0000,2_0000_110,256,7374,2732
2_0000,2_0000_111,256,7614,2780
2_0000,2_0000_112,256,7908,2844
2_0000,2_0000_113,256,8244,2992
2_0000,2_0000_114,256,8520,3028
2_0000,2_0000_115,256,8793,3124
2_0000,2_0000_116,256,9084,3172
2_0000,2_0000_117,256,9354,3220
2_0000,2_0000_118,256,9615,3268
2_0000,2_0000_119,256,9921,3444
2_0000,2_0000_120,256,10230,3752
2_0000,2_0000_121,256,10548,3900
2_0000,2_0000_122,256,10842,3968
2_0000,2_0000_123,256,11151,4000
2_0000,2_0000_124,256,11478,4108
2_0000,2_0000_125,256,11865,4264
2_0000,2_0000_126,256,12333,4332
2_0000,2_0000_127,256,12684,4484
2_0000,2_0000_128,256,13059,4656
2_0000,2_0000_129,256,13347,4636
2_0000,2_0000_130,256,13755,4672
2_0000,2_0000_131,256,14112,4868
2_0000,2_0000_132,256,14406,5012
2_0000,2_0000_133,256,14715,5128
2_0000,2_0000_134,256,15087,5224
2_0000,2_0000_135,256,15531,5284
2_0000,2_0000_136,256,15945,4944
2_0000,2_0000_137,256,16293,5108
2_0000,2_0000_138,256,16758,5144
2_0000,2_0000_139,256,17271,5384
2_0000,2_0000_140,256,17583,5584
2_0000,2_0000_141,256,18171,5088
2_0000,2_0000_142,256,18735,5068
2_0000,2_0000_143,256,19149,4948
2_0000,2_0000_144,256,19710,5380
2_0000,2_0000_145,256,20313,5352
2_0000,2_0000_146,256,20718,5048
2_0000,2_0000_147,256,21168,5048
2_0000,2_0000_148,256,21513,5240
2_0000,2_0000_149,256,21894,5368
2_0000,2_0000_150,256,22287,5112
2_0000,2_0000_151,256,22827,5724
2_0000,2_0000_152,256,23187,5952
2_0000,2_0000_153,256,23454,5668
2_0000,2_0000_154,256,23679,5628
2_0000,2_0000_155,256,24072,5064
2_0000,2_0000_156,256,24594,4536
2_0000,2_0000_157,256,25038,4540
2_0000,2_0000_158,256,25485,4644
2_0000,2_0000_159,256,25779,4524
2_0000,2_0000_160,256,26133,4712
2_0000,2_0000_161,256,26415,4408
2_0000,2_0000_162,256,26868,4036
2_0000,2_0000_163,256,27417,3940
2_0000,2_0000_164,256,28008,4464
2_0000,2_0000_165,256,28458,5372
2_0000,2_0000_166,256,28950,4724
