Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
329,,0.124401912,0.088677749,0.156609192,0.156609192,4427
330,,0.604178429,0.233421758,0.203957379,0.233421758,593
331,,0.259592652,0.480530232,0.58436501,0.58436501,5685
332,,0.106493227,0.541666687,0.525380135,0.541666687,2126
333,,0.293843091,0.715840936,0.615873396,0.715840936,10744
334,,0.108195819,0.626690209,0.533661485,0.626690209,3494
335,,0.033975825,0.486042678,0.434994757,0.486042678,1111
336,,0.126368552,0.352701336,0.374206662,0.374206662,2181
337,,0.128142178,0.695115685,0.588593841,0.695115685,3619
338,,0.660559118,0.420514405,0.355761468,0.420514405,19933
339,,0.339992464,0.678571403,0.679125369,0.679125369,4612
340,,0.782874644,0.649827778,0.438863724,0.649827778,1375
341,,0.411812991,0.62149334,0.663964689,0.663964689,12177
342,,0.792242527,0.778816223,0.680282056,0.778816223,2140
343,,0.296773672,0.6278826,0.652681231,0.652681231,9049
344,,0.480237275,0.265486717,0.310903519,0.310903519,4614
345,,0.155835435,0.510009527,0.391793132,0.510009527,4855
346,,0.595050633,0.417647064,0.459813088,0.459813088,1443
347,,0.237510771,0.623673916,0.780423641,0.780423641,9142
348,,0.229819044,0.629341304,0.693465889,0.693465889,8444
349,,0.40665701,0.486427784,0.5,0.5,1156
350,,0.113836184,0.477867693,0.49617672,0.49617672,3821
351,,0.451990277,0.852710187,0.828955114,0.852710187,11906
352,,0.309328437,0.71479857,0.66788429,0.71479857,4845
353,,0.07202474,0.203338385,0.310015887,0.310015887,2497
354,,0.12404076,0.494676501,0.364269137,0.494676501,1577
355,,0.409538835,0.497727275,0.357523829,0.497727275,2511
356,,0.120481931,0.58015269,0.614860594,0.614860594,4030
357,,0.656184971,0.760171294,0.760856986,0.760856986,1952
358,,0.118753217,0.395864099,0.697577834,0.697577834,650
359,,0.242138237,0.657291651,0.643488228,0.657291651,3614
360,,0.390819222,0.562180579,0.777669668,0.777669668,5017
361,,0.284965038,0.570329189,0.609051108,0.609051108,4647
362,,0.320682257,0.709046483,0.745305181,0.745305181,3044
363,,0.127887562,0.493695438,0.459334671,0.493695438,2274
364,,0.315910399,0.353481263,0.32311669,0.353481263,1074
365,,0.511664331,0.56833744,0.617577672,0.617577672,18792
366,,0.442729831,0.522255182,0.571863234,0.571863234,7405
367,,0.136325389,0.244548291,0.1410947,0.244548291,1898
368,,0.349139929,0.381188124,0.440227717,0.440227717,4932
369,,0.55438596,0.594417095,0.578536212,0.594417095,1957
370,,0.172213987,0.276646703,0.242202327,0.276646703,1047
371,,0.20171693,0.68305403,0.576701045,0.68305403,5487
372,,0.14373228,0.466372102,0.353470296,0.466372102,4440
373,,0.05121066,0.487106025,0.003962358,0.487106025,1984
374,,0.167205736,0.681127965,0.678832114,0.681127965,4885
375,,0.394978195,0.654687524,0.724697292,0.724697292,3878
376,,0.207436621,0.498772353,0.629782081,0.629782081,4193
377,,0.328661114,0.707154334,0.617485046,0.707154334,10506
378,,0.409012139,0.075201429,0.104705513,0.104705513,218
379,,0.418335348,0.613918006,0.600620687,0.613918006,1882
380,,0.133082464,0.420051873,0.507483363,0.507483363,3897
381,,0.166290373,0.587589979,0.600256979,0.600256979,5472
382,,0.35296604,0.600314319,0.803725719,0.803725719,5289
383,,0.438688785,0.112396695,0.160173163,0.160173163,841
384,,0.444140643,0.592997015,0.814327776,0.814327776,13113
385,,0.142079413,0.698412716,0.632413268,0.698412716,5098
386,,0.141886756,0.513725519,0.492009372,0.513725519,4560
387,,0.337280631,0.616151571,0.533176303,0.616151571,5604
388,,0.10478498,0.469428003,0.558263958,0.558263958,2630
