Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
214,0.000626806,0.318956852,0.318330046
215,0.00178474,0.797116458,0.795331718
216,0.117314681,0.961964667,0.844649985
217,0.006368369,0.164006457,0.157638087
218,0.002392489,0.324962318,0.322569829
219,0.002935553,0.820487559,0.817552006
220,0.006653531,0.796591103,0.789937573
221,0.003404215,0.618031085,0.614626869
222,0.032483697,0.959607005,0.927123308
223,0.00912807,0.586190879,0.57706281
224,0.002879762,0.807861626,0.804981864
225,0.075386748,0.977459371,0.902072623
226,0.027742626,0.919646084,0.891903458
227,0.000561817,0.589915276,0.589353458
228,0.023498466,0.837694883,0.814196417
229,0.023280276,0.972357869,0.949077593
230,0.00303184,0.366316766,0.363284926
231,0.009026159,0.882258832,0.873232674
232,0.009633247,0.865637362,0.856004115
233,0.239502028,0.990347505,0.750845477
234,0.02415525,0.79244411,0.76828886
235,0.002958316,0.667608082,0.664649766
236,0.03218874,0.740245521,0.708056781
237,0.000943234,0.468621463,0.467678229
238,0.000371355,0.006463444,0.006092089
239,0.002758236,0.721297324,0.718539088
240,0.126056477,0.985985041,0.859928563
241,0.213037685,0.996372223,0.783334538
242,0.01650296,0.93926239,0.92275943
243,0.04328759,0.506718218,0.463430628
244,0.017663069,0.791029096,0.773366027
245,0.006697366,0.097762033,0.091064667
246,0.000642076,0.111417584,0.110775508
247,0.00076619,0.218439192,0.217673002
248,0.004608877,0.602443337,0.597834461
249,0.016085265,0.573436618,0.557351353
250,0.002098291,0.839284658,0.837186368
251,0.049805574,0.922941804,0.87313623
252,0.000867323,0.333854228,0.332986905
253,0.019177834,0.857936502,0.838758668
254,0.001161248,0.473888606,0.472727358
255,0.094452254,0.754143953,0.659691699
256,0.025875164,0.947450697,0.921575533
257,0.02071777,0.932571471,0.911853701
258,0.003701533,0.841850638,0.838149105
259,0.020177601,0.9864434,0.966265799
260,0.205600217,0.969589174,0.763988957
261,0.01374819,0.754350543,0.740602353
262,0.010694798,0.911521077,0.900826279
263,0.010703549,0.90787822,0.897174671
264,0.001252927,0.836747527,0.8354946
265,0.018999852,0.81060195,0.791602097
266,0.003650667,0.675595284,0.671944617
267,0.008519202,0.019485561,0.01096636
268,0.139071584,0.51081264,0.371741056
269,0.004524111,0.879795015,0.875270904
270,0.003685583,0.223341018,0.219655435
271,0.000888911,0.022431776,0.021542865
272,0.000566282,0.169183671,0.168617389
273,0.074314907,0.964974463,0.890659556
274,0.008314269,0.092118889,0.08380462
275,0.001769065,0.493871212,0.492102147
276,0.171082228,0.361672401,0.190590173
277,0.366843373,0.990705431,0.623862058
278,0.00344744,0.562971056,0.559523615
279,0.032569457,0.680114806,0.647545349
280,0.005932022,0.947838545,0.941906522
281,0.002327699,0.052435733,0.050108034
282,0.00102956,0.199527726,0.198498166
283,0.00656466,0.917723119,0.911158459
284,0.021941418,0.909767032,0.887825614
285,0.000833908,0.879469812,0.878635904
286,0.00054315,0.305509061,0.30496591
287,0.007313492,0.918098807,0.910785316
288,0.009802983,0.962399304,0.952596321
289,0.002233897,0.49527669,0.493042793
290,0.034312341,0.969140768,0.934828427
291,0.037756994,0.941400588,0.903643593
292,0.000416474,0.407320946,0.406904472
293,0.001674298,0.328138798,0.3264645
294,0.05686602,0.614831805,0.557965785
295,0.15911445,0.99203217,0.83291772
296,0.025432827,0.96387291,0.938440083
297,0.001115943,0.201536849,0.200420906
298,0.068942048,0.957900345,0.888958298
299,0.044439651,0.904801965,0.860362314
300,0.565878153,0.996288061,0.430409908
301,0.645342886,0.991504848,0.346161962
302,0.028548012,0.943207562,0.91465955
303,0.001595071,0.001399721,-0.00019535
304,0.004491561,0.803436875,0.798945315
305,0.003026891,0.060259696,0.057232805
306,0.035398662,0.941875935,0.906477273
307,0.037469413,0.901802778,0.864333365
308,0.034960534,0.419326901,0.384366367
309,0.002197896,0.764119983,0.761922087
